row,taxon,site,locale,MNI,site_label
1,Acomys,3,Serengeti,1,SR3
2,Lemniscomys/Arvicanthis,3,Serengeti,4,SR3
3,Arvicanthis,3,Serengeti,5,SR3
4,Mastomys,3,Serengeti,9,SR3
5,Mus,3,Serengeti,21,SR3
6,Mus,3,Serengeti,20,SR3
7,Praomys,3,Serengeti,1,SR3
8,Thallomys,3,Serengeti,7,SR3
9,Zelotomys,3,Serengeti,3,SR3
10,Saccostomus,3,Serengeti,6,SR3
11,Dendromus,3,Serengeti,24,SR3
12,Steatomys,3,Serengeti,32,SR3
13,Gerbillus,3,Serengeti,3,SR3
14,Tatera,3,Serengeti,1,SR3
15,Lemniscomys/Arvicanthis,4,Serengeti,3,SR4
16,Arvicanthis,4,Serengeti,21,SR4
17,Mastomys,4,Serengeti,35,SR4
18,Mus,4,Serengeti,14,SR4
19,Mus,4,Serengeti,13,SR4
20,Thallomys,4,Serengeti,2,SR4
21,Zelotomys,4,Serengeti,6,SR4
22,Saccostomus,4,Serengeti,7,SR4
23,Dendromus,4,Serengeti,33,SR4
24,Steatomys,4,Serengeti,44,SR4
25,Gerbillus,4,Serengeti,1,SR4
26,Tatera,4,Serengeti,7,SR4
27,Lemniscomys/Arvicanthis,7,Serengeti,7,SR7
28,Arvicanthis,7,Serengeti,7,SR7
29,Mastomys,7,Serengeti,3,SR7
30,Mus,7,Serengeti,37,SR7
31,Mus,7,Serengeti,4,SR7
32,Zelotomys,7,Serengeti,2,SR7
33,Saccostomus,7,Serengeti,5,SR7
34,Dendromus,7,Serengeti,21,SR7
35,Steatomys,7,Serengeti,61,SR7
36,Gerbillus,7,Serengeti,44,SR7
37,Tatera,7,Serengeti,10,SR7
38,Acomys,12,Serengeti,1,SR12
39,Lemniscomys/Arvicanthis,12,Serengeti,1,SR12
40,Mastomys,12,Serengeti,1,SR12
41,Mus,12,Serengeti,2,SR12
42,Thallomys,12,Serengeti,5,SR12
43,Saccostomus,12,Serengeti,1,SR12
44,Dendromus,12,Serengeti,2,SR12
45,Steatomys,12,Serengeti,4,SR12
46,Acomys,13,Serengeti,2,SR13
47,Lemniscomys/Arvicanthis,13,Serengeti,2,SR13
48,Arvicanthis,13,Serengeti,3,SR13
49,Mastomys,13,Serengeti,4,SR13
50,Mus,13,Serengeti,11,SR13
51,Mus,13,Serengeti,13,SR13
52,Thallomys,13,Serengeti,4,SR13
53,Zelotomys,13,Serengeti,5,SR13
54,Saccostomus,13,Serengeti,2,SR13
55,Dendromus,13,Serengeti,26,SR13
56,Steatomys,13,Serengeti,64,SR13
57,Gerbillus,13,Serengeti,15,SR13
58,Tatera,13,Serengeti,4,SR13
59,Acomys,18,Serengeti,1,SR18
60,Lemniscomys/Arvicanthis,18,Serengeti,5,SR18
61,Arvicanthis,18,Serengeti,4,SR18
62,Mastomys,18,Serengeti,2,SR18
63,Mus,18,Serengeti,9,SR18
64,Mus,18,Serengeti,21,SR18
65,Praomys,18,Serengeti,2,SR18
66,Thallomys,18,Serengeti,3,SR18
67,Zelotomys,18,Serengeti,1,SR18
68,Saccostomus,18,Serengeti,7,SR18
69,Dendromus,18,Serengeti,9,SR18
70,Steatomys,18,Serengeti,14,SR18
71,Gerbillus,18,Serengeti,3,SR18
72,Tatera,18,Serengeti,3,SR18
73,Lemniscomys/Arvicanthis,23,Serengeti,6,SR23
74,Arvicanthis,23,Serengeti,14,SR23
75,Mastomys,23,Serengeti,21,SR23
76,Mus,23,Serengeti,7,SR23
77,Mus,23,Serengeti,3,SR23
78,Thallomys,23,Serengeti,26,SR23
79,Zelotomys,23,Serengeti,1,SR23
80,Saccostomus,23,Serengeti,11,SR23
81,Dendromus,23,Serengeti,4,SR23
82,Steatomys,23,Serengeti,2,SR23
83,Tatera,23,Serengeti,3,SR23
84,Aethomys,24,Serengeti,1,SR24
85,Lemniscomys/Arvicanthis,24,Serengeti,4,SR24
86,Arvicanthis,24,Serengeti,1,SR24
87,Mastomys,24,Serengeti,4,SR24
88,Mus,24,Serengeti,5,SR24
89,Mus,24,Serengeti,1,SR24
90,Dendromus,24,Serengeti,17,SR24
91,Steatomys,24,Serengeti,93,SR24
92,Gerbillus,24,Serengeti,29,SR24
93,Tatera,24,Serengeti,66,SR24
94,Lemniscomys/Arvicanthis,29,Serengeti,3,SR29
95,Mastomys,29,Serengeti,2,SR29
96,Thallomys,29,Serengeti,1,SR29
97,Dendromus,29,Serengeti,1,SR29
98,Steatomys,29,Serengeti,5,SR29
99,Gerbillus,29,Serengeti,30,SR29
100,Tatera,29,Serengeti,122,SR29
101,Aethomys,40,Serengeti,3,SR40
102,Arvicanthis,40,Serengeti,5,SR40
103,Dasymys,40,Serengeti,1,SR40
104,Mastomys,40,Serengeti,3,SR40
105,Mus,40,Serengeti,1,SR40
106,Mus,40,Serengeti,1,SR40
107,Zelotomys,40,Serengeti,1,SR40
108,Dendromus,40,Serengeti,2,SR40
109,Steatomys,40,Serengeti,2,SR40
110,Tatera,40,Serengeti,2,SR40
111,Aethomys,43,Serengeti,5,SR43
112,Lemniscomys/Arvicanthis,43,Serengeti,2,SR43
113,Arvicanthis,43,Serengeti,10,SR43
114,Mastomys,43,Serengeti,11,SR43
115,Mus,43,Serengeti,4,SR43
116,Mus,43,Serengeti,6,SR43
117,Zelotomys,43,Serengeti,1,SR43
118,Dendromus,43,Serengeti,3,SR43
119,Steatomys,43,Serengeti,14,SR43
120,Tatera,43,Serengeti,2,SR43
121,Acomys,44,Serengeti,1,SR44
122,Aethomys,44,Serengeti,5,SR44
123,Lemniscomys/Arvicanthis,44,Serengeti,1,SR44
124,Arvicanthis,44,Serengeti,17,SR44
125,Dasymys,44,Serengeti,4,SR44
126,Mastomys,44,Serengeti,10,SR44
127,Mus,44,Serengeti,1,SR44
128,Praomys,44,Serengeti,1,SR44
129,Zelotomys,44,Serengeti,1,SR44
130,Dendromus,44,Serengeti,4,SR44
131,Steatomys,44,Serengeti,7,SR44
132,Tatera,44,Serengeti,3,SR44
133,Mastomys,3,Amboseli,11,AM3
134,Dendromus,3,Amboseli,3,AM3
135,Steatomys,3,Amboseli,3,AM3
136,Gerbillus,3,Amboseli,11,AM3
137,Tatera,3,Amboseli,1,AM3
138,Otomys,3,Amboseli,1,AM3
139,Zelotomys,1,Harrison,11,HA1
140,Steatomys,1,Harrison,34,HA1
141,Saccostomus,1,Harrison,2,HA1
142,Mastomys,1,Harrison,195,HA1
143,Mus,1,Harrison,1,HA1
144,Lemniscomys/Arvicanthis,1,Harrison,3,HA1
145,Gerbillus,1,Harrison,85,HA1
146,Arvicanthis,1,Harrison,1,HA1
